date,Retreat_EMA_withSleep_1,Retreat_EMA_withSleep_2,Retreat_EMA_withSleep_3,Retreat_EMA_withSleep_4,Retreat_EMA_withSleep_5,Retreat_EMA_withSleep_6,Retreat_EMA_withSleep_7,Retreat_EMA_withSleep_8
21-Mar-2024 10:02:16,1,1,2,1,2,,,
22-Mar-2024 10:30:52,1,2,2,1,1,,,
23-Mar-2024 08:44:06,0,2,4,1,1,,,
24-Mar-2024 10:31:43,2,0,2,1,1,,,
25-Mar-2024 09:35:25,2,2,0,1,1,,,
26-Mar-2024 08:38:48,1,2,1,2,1,,,
27-Mar-2024 08:02:54,2,0,0,2,2,,,
28-Mar-2024 09:48:08,1,2,2,1,1,,,
29-Mar-2024 10:38:46,0,3,1,0,0,,,
30-Mar-2024 10:35:49,1,2,1,1,1,,,
31-Mar-2024 08:04:08,1,2,2,1,1,,,
01-Apr-2024 09:53:37,1,2,2,1,1,,,
02-Apr-2024 09:33:12,2,1,2,1,1,,,
03-Apr-2024 08:01:07,2,0,2,2,2,,,
