date,Marzuki_EMA_withoutSleep_1,Marzuki_EMA_withoutSleep_2,Marzuki_EMA_withoutSleep_3,Marzuki_EMA_withoutSleep_4,Marzuki_EMA_withoutSleep_5,Marzuki_EMA_withoutSleep_6,Marzuki_EMA_withoutSleep_7
24-May-2024 13:46:42,1,2,2,,1,,
24-May-2024 19:00:40,0,2,1,,0,,
25-May-2024 12:30:52,0,3,0,,0,,
25-May-2024 15:30:34,0,3,0,,0,,
25-May-2024 20:31:23,0,4,0,,0,,
26-May-2024 15:31:43,0,3,0,,0,,
26-May-2024 23:33:16,0,3,1,,1,,
27-May-2024 13:40:48,0,3,0,,0,,
27-May-2024 17:05:31,0,3,0,,0,,
27-May-2024 20:45:56,0,3,0,,0,,
28-May-2024 14:31:28,0,1,0,,0,,
28-May-2024 17:15:09,0,2,0,,0,,
28-May-2024 19:31:14,0,3,0,,0,,
29-May-2024 15:03:33,1,3,0,,0,,
29-May-2024 19:35:01,0,3,1,,0,,
29-May-2024 21:19:43,0,3,0,,0,,
30-May-2024 13:02:03,1,2,1,,2,,
30-May-2024 17:36:21,1,3,1,,1,,
30-May-2024 20:00:28,0,3,0,,0,,
31-May-2024 13:00:33,1,3,1,,0,,
01-Jun-2024 00:56:42,0,3,1,,0,,
01-Jun-2024 13:05:28,0,4,0,,0,,
01-Jun-2024 22:10:15,0,4,0,,0,,
02-Jun-2024 16:54:34,2,4,2,,0,,
02-Jun-2024 17:18:13,0,4,0,,0,,
02-Jun-2024 19:52:41,0,3,1,,0,,
03-Jun-2024 13:42:06,1,2,0,,0,,
03-Jun-2024 15:31:46,3,2,2,,2,,
03-Jun-2024 21:41:28,0,2,1,,0,,
04-Jun-2024 13:13:10,0,2,1,,2,,
04-Jun-2024 17:16:45,1,2,1,,0,,
04-Jun-2024 20:31:52,3,1,1,,2,,
05-Jun-2024 15:00:53,1,2,1,,1,,
05-Jun-2024 17:01:46,0,4,0,,0,,
05-Jun-2024 20:18:15,0,3,0,,0,,
06-Jun-2024 14:54:26,0,3,1,,0,,
06-Jun-2024 23:04:43,0,1,2,,1,,
